İl Adı,2024 CHP Tahmini Oy Sayısı,2024 AK PARTİ Tahmini Oy Sayısı,2024 MHP Tahmini Oy Sayısı,2024 HDP Tahmini Oy Sayısı,Senaryo,Toplam Oy,2024 CHP Tahmini Oy Sayısı (%),2024 AK PARTİ Tahmini Oy Sayısı (%),2024 MHP Tahmini Oy Sayısı (%),2024 HDP Tahmini Oy Sayısı (%)
ADANA,615026.9,387989.97,84259.44,91250.766,Gelir +%20,1.178527e+06,52.186066,32.921604,7.1495547,7.742781
ADIYAMAN,71525.734,69841.56,4294.413,5264.47,Gelir +%20,150926.17,47.391205,46.275314,2.8453734,3.4881096
AFYONKARAHİSAR,95173.85,123925.88,74860.89,356.24768,Gelir +%20,294316.88,32.337208,42.10628,25.435474,0.12104222
AĞRI,6888.5264,37595.113,1248.5543,52019.766,Gelir +%20,97751.96,7.0469446,38.4597,1.2772678,53.216084
AKSARAY,27475.643,59536.137,53205.266,111.81488,Gelir +%20,140328.86,19.579468,42.426155,37.9147,0.0796806
AMASYA,59339.168,51447.938,32186.555,53.06354,Gelir +%20,143026.72,41.48817,35.97086,22.503876,0.037100438
ANKARA,1.6516549e+06,943235.56,170283.06,25172.215,Gelir +%20,2.7903458e+06,59.191765,33.80354,6.1025796,0.90211815
ANTALYA,695390.75,402253.44,88793.53,40134.984,Gelir +%20,1.2265728e+06,56.693806,32.79491,7.2391577,3.2721243
ARDAHAN,12535.303,6993.1245,547.56213,86.8313,Gelir +%20,20162.822,62.17038,34.68326,2.7157018,0.4306505
ARTVİN,28947.182,26454.295,-7.299113,227.45744,Gelir +%20,55621.633,52.043026,47.56116,-0.013122795,0.40893698
AYDIN,326512.6,110740.836,123491.68,7810.346,Gelir +%20,568555.5,57.428448,19.477577,21.72025,1.3737174
BALIKESİR,354205.94,298715.4,13636.257,4416.268,Gelir +%20,670973.9,52.789825,44.519676,2.032308,0.6581878
BARTIN,22424.035,11398.972,14639.6045,139.33173,Gelir +%20,48601.945,46.138145,23.453735,30.121437,0.28667933
BATMAN,7859.9795,40089.797,-92.1258,129569.43,Gelir +%20,177427.08,4.4299774,22.595083,-0.05192319,73.02686
BAYBURT,797.5607,9827.238,7887.351,47.16785,Gelir +%20,18559.318,4.29736,52.950424,42.498062,0.25414646
BİLECİK,40421.02,39886.65,8835.749,307.1929,Gelir +%20,89450.62,45.188084,44.59069,9.877796,0.3434218
BİNGÖL,2738.0923,26696.031,1204.1512,13609.012,Gelir +%20,44247.285,6.1881585,60.333717,2.7214127,30.756716
BİTLİS,2577.4321,42446.438,-1058.023,36254.164,Gelir +%20,80220.016,3.2129538,52.91253,-1.3189014,45.193413
BOLU,59541.88,62154.527,3641.6453,1497.2651,Gelir +%20,126835.32,46.944244,49.004116,2.8711603,1.1804796
BURDUR,40091.55,44015.855,20278.596,373.61374,Gelir +%20,104759.62,38.270042,42.016052,19.357264,0.3566391
BURSA,721004.0,639436.25,32152.7,34427.816,Gelir +%20,1.4270209e+06,50.525116,44.80917,2.2531345,2.4125657
ÇANAKKALE,107537.445,89026.64,8834.815,2735.181,Gelir +%20,208134.1,51.667385,42.773693,4.244771,1.3141437
ÇANKIRI,15774.968,18255.07,28510.016,-494.7956,Gelir +%20,62045.258,25.424936,29.422184,45.95035,-0.79747534
ÇORUM,63523.836,80198.64,33664.566,178.00021,Gelir +%20,177565.03,35.77497,45.165787,18.959007,0.10024508
DENİZLİ,311271.5,190154.6,16715.244,6204.219,Gelir +%20,524345.56,59.36381,36.26513,3.1878297,1.183231
DİYARBAKIR,26982.555,125920.086,88.10291,421422.6,Gelir +%20,574413.4,4.6974106,21.921509,0.015337894,73.36574
DÜZCE,21274.701,62095.03,24863.654,589.3486,Gelir +%20,108822.74,19.549868,57.06071,22.847847,0.5415675
EDİRNE,89629.34,77975.586,2730.8416,1545.9955,Gelir +%20,171881.78,52.145924,45.36582,1.5887905,0.8994528
ELAZIĞ,43162.45,70455.91,70795.51,14797.05,Gelir +%20,199210.92,21.666708,35.367493,35.537964,7.42783
ERZİNCAN,17918.771,8802.774,41366.105,591.8845,Gelir +%20,68679.54,26.090408,12.817171,60.230614,0.8618062
ERZURUM,15946.1045,147306.77,6691.548,14103.98,Gelir +%20,184048.4,8.664082,80.036964,3.6357543,7.6631913
ESKİŞEHİR,202244.14,174563.66,6096.5977,2531.178,Gelir +%20,385435.6,52.471577,45.289967,1.5817423,0.6567058
GAZİANTEP,273307.5,353826.34,15257.351,44685.87,Gelir +%20,687077.1,39.778286,51.49733,2.2206168,6.5037637
GİRESUN,63366.95,58616.0,19655.012,461.78433,Gelir +%20,142099.75,44.593285,41.249897,13.8318405,0.32497194
GÜMÜŞHANE,2775.6084,18007.457,17992.432,-125.540245,Gelir +%20,38649.96,7.1814003,46.59114,46.552265,-0.3248134
HAKKARİ,3165.9685,27499.846,5582.8677,48968.266,Gelir +%20,85216.95,3.715186,32.270393,6.551358,57.463055
HATAY,283512.16,253385.28,43229.81,6796.9727,Gelir +%20,586924.25,48.30473,43.17172,7.3654838,1.1580665
IĞDIR,3775.3457,25836.139,1748.3956,24674.67,Gelir +%20,56034.55,6.7375317,46.107517,3.12021,44.034744
ISPARTA,36724.285,78479.58,28786.305,848.07635,Gelir +%20,144838.23,25.355381,54.184296,19.874796,0.5855335
İSTANBUL,4.079738e+06,3.4328188e+06,59000.312,127551.3,Gelir +%20,7.699109e+06,52.98974,44.587223,0.7663265,1.6567019
İZMİR,1.2796516e+06,847773.75,64938.555,103224.93,Gelir +%20,2.295589e+06,55.743935,36.930553,2.8288407,4.496664
KAHRAMANMARAŞ,77811.72,219468.5,8911.365,3002.6152,Gelir +%20,309194.22,25.16597,70.9808,2.8821254,0.9711098
KARABÜK,21757.863,37090.555,23046.746,125.61663,Gelir +%20,82020.78,26.527256,45.220924,28.098667,0.1531522
KARAMAN,23956.99,31709.162,51137.902,158.44183,Gelir +%20,106962.5,22.39756,29.64512,47.809185,0.14812839
KARS,12135.51,8523.383,20938.467,15775.21,Gelir +%20,57372.57,21.152111,14.856198,36.495605,27.496084
KASTAMONU,20280.047,41535.77,52655.324,804.795,Gelir +%20,115275.94,17.592611,36.031605,45.67764,0.6981465
KAYSERİ,112617.125,262082.84,22790.42,3501.798,Gelir +%20,400992.2,28.084618,65.35859,5.6835074,0.8732834
KIRIKKALE,53478.125,39955.797,32176.062,114.315834,Gelir +%20,125724.3,42.53603,31.78049,25.592556,0.090925805
KIRKLARELİ,86116.33,54109.105,24872.232,344.62628,Gelir +%20,165442.3,52.05218,32.705727,15.033781,0.20830603
KIRŞEHİR,45595.082,34245.27,23588.54,103.18497,Gelir +%20,103532.08,44.03957,33.076965,22.783798,0.099664725
KİLİS,23607.688,15823.403,13945.899,129.08836,Gelir +%20,53506.08,44.121506,29.573095,26.06414,0.24125925
KOCAELİ,316025.5,435101.2,5.3310957,26484.96,Gelir +%20,777616.94,40.64025,55.95315,0.0006855684,3.4059138
KONYA,171937.06,468069.7,50614.895,19668.648,Gelir +%20,710290.25,24.206593,65.89837,7.1259456,2.7691002
KÜTAHYA,50184.95,77388.734,80610.86,477.77377,Gelir +%20,208662.33,24.050795,37.088024,38.632206,0.22896983
MALATYA,109033.32,182616.56,6496.048,2715.8796,Gelir +%20,300861.8,36.240334,60.69782,2.1591468,0.90270007
MANİSA,414197.53,185825.98,121351.266,11035.8955,Gelir +%20,732410.6,56.552635,25.371832,16.568747,1.5067908
MARDİN,10364.653,98858.15,-110.129166,204483.44,Gelir +%20,313596.12,3.3050961,31.524033,-0.03511815,65.205986
MERSİN,482313.5,94689.11,237952.06,47905.523,Gelir +%20,862860.2,55.897064,10.973865,27.57713,5.551945
MUĞLA,311983.75,185480.98,45068.258,10297.202,Gelir +%20,552830.2,56.43392,33.55117,8.152279,1.8626338
