İl Adı,2024 Kayıtlı Seçmen Sayısı,2024 Oy Kullanan Seçmen Sayısı,2024 Geçerli Oy Toplamı,2024 AK PARTİ Oy Sayısı (Gerçek),2024 CHP Oy Sayısı (Gerçek),2024 MHP Oy Sayısı (Gerçek),2024 DEM/HDP Oy Sayısı (Gerçek),2024 AK PARTİ Oy Sayısı (Gerçek) (%),2024 CHP Oy Sayısı (Gerçek) (%),2024 MHP Oy Sayısı (Gerçek) (%),2024 DEM/HDP Oy Sayısı (Gerçek) (%)
ADANA,16316430,12342200,11674390,237326,486366,154070,73426,2.03,4.17,1.32,0.63
ADIYAMAN,3016990,2244580,2130690,69378,71556,4296,7875,3.26,3.36,0.2,0.37
AFYONKARAHİSAR,4169020,3529230,3376450,124295,95262,74671,283,3.68,2.82,2.21,0.01
AĞRI,1972060,1325210,1233340,37096,6830,1228,52028,3.01,0.55,0.1,4.22
AKSARAY,2434270,1875240,1793780,68425,12987,55879,324,3.81,0.72,3.12,0.02
AMASYA,1860170,1546500,1477520,51276,54415,31268,42,3.47,3.68,2.12,0.0
ANKARA,43071190,34146020,32909210,943262,1651685,170282,25169,2.87,5.02,0.52,0.08
ANTALYA,19270720,15098430,14462010,397938,695296,88781,40140,2.75,4.81,0.61,0.28
ARDAHAN,291740,226660,213140,7629,8308,376,91,3.58,3.9,0.18,0.04
ARTVİN,784150,644720,618920,27318,29283,0,46,4.41,4.73,0.0,0.01
AYDIN,8823790,7115460,6744360,131860,313952,102739,17339,1.96,4.66,1.52,0.26
BALIKESİR,9996860,8308890,7937150,298748,354208,11716,4411,3.76,4.46,0.15,0.06
BARTIN,826110,635900,599740,6843,26374,18756,86,1.14,4.4,3.13,0.01
BATMAN,3485300,2497410,2328870,39990,7812,0,132039,1.72,0.34,0.0,5.67
BAYBURT,358230,252860,242060,9642,814,8955,45,3.98,0.34,3.7,0.02
BİLECİK,1406300,1162500,1119550,30036,40362,8824,302,2.68,3.61,0.79,0.03
BİNGÖL,1309440,844990,770440,26778,2793,1285,13933,3.48,0.36,0.17,1.81
BİTLİS,1601950,1205000,1121420,41550,2476,0,38365,3.71,0.22,0.0,3.42
BOLU,1706600,1403010,1355060,40762,59914,19820,623,3.01,4.42,1.46,0.05
BURDUR,1459780,1227220,1169640,44010,40498,20097,189,3.76,3.46,1.72,0.02
BURSA,23899070,18820390,17940980,636207,721090,32299,34429,3.55,4.02,0.18,0.19
ÇANAKKALE,3157010,2584110,2511840,78609,107506,9014,2732,3.13,4.28,0.36,0.11
ÇANKIRI,1016380,840020,803830,30240,3349,40213,40,3.76,0.42,5.0,0.0
ÇORUM,2910650,2273120,2166760,81519,59097,33629,269,3.76,2.73,1.55,0.01
DENİZLİ,8009480,6673200,6316230,190144,311374,16835,6021,3.01,4.93,0.27,0.1
DİYARBAKIR,11659080,7805340,7161710,125921,27000,85,449389,1.76,0.38,0.0,6.27
DÜZCE,2056880,1659310,1588440,62048,21386,22610,603,3.91,1.35,1.42,0.04
EDİRNE,2461100,2004660,1937670,77968,89733,2529,1367,4.02,4.63,0.13,0.07
ELAZIĞ,3563630,2542230,2391590,91523,29028,24082,7419,3.83,1.21,1.01,0.31
ERZİNCAN,1316650,1046050,994260,8598,17980,39123,399,0.86,1.81,3.93,0.04
ERZURUM,5173190,3736470,3520030,143289,22235,7990,24288,4.07,0.63,0.23,0.69
